agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_email
IDFM:71,RER,http://www.navitia.io/,Europe/Paris,,,
IDFM:55,Noctilien,http://www.navitia.io/,Europe/Paris,,,
IDFM:93,TER,http://www.navitia.io/,Europe/Paris,,,
IDFM:1046,Transilien,http://www.navitia.io/,Europe/Paris,,,
IDFM:1069,Terres d'Envol,http://www.navitia.io/,Europe/Paris,,,
IDFM:1051,Poissy - Les Mureaux,http://www.navitia.io/,Europe/Paris,,,
IDFM:885,Paris-Saclay Mobilités,http://www.navitia.io/,Europe/Paris,,,
IDFM:184,Seine-Saint-Denis,http://www.navitia.io/,Europe/Paris,,,
IDFM:1078,Provinois - Brie et Seine,http://www.navitia.io/,Europe/Paris,,,
IDFM:14,Bus Haut Val d'Oise,http://www.navitia.io/,Europe/Paris,,,
IDFM:81,Sit'bus,http://www.navitia.io/,Europe/Paris,,,
IDFM:1050,Grand Melun,http://www.navitia.io/,Europe/Paris,,,
IDFM:115,Valoise,http://www.navitia.io/,Europe/Paris,,,
IDFM:1027,Dourdanais,http://www.navitia.io/,Europe/Paris,,,
IDFM:663,Chavilbus,http://www.navitia.io/,Europe/Paris,,,
IDFM:75,Seine Essonne Bus,http://www.navitia.io/,Europe/Paris,,,
IDFM:176,Tam Limay,http://www.navitia.io/,Europe/Paris,,,
IDFM:1045,Trans Essonne,http://www.navitia.io/,Europe/Paris,,,
IDFM:1075,Vallée du Loing - Nemours,http://www.navitia.io/,Europe/Paris,,,
IDFM:1062,Saint Germain Boucles de Seine,http://www.navitia.io/,Europe/Paris,,,
IDFM:1054,Argenteuil - Boucles de Seine,http://www.navitia.io/,Europe/Paris,,,
IDFM:1067,SITUS,http://www.navitia.io/,Europe/Paris,,,
IDFM:1061,Vélizy Vallées,http://www.navitia.io/,Europe/Paris,,,
IDFM:1068,Saint-Quentin-en-Yvelines,http://www.navitia.io/,Europe/Paris,,,
IDFM:1074,Fontainebleau - Moret,http://www.navitia.io/,Europe/Paris,,,
IDFM:175,Plaine de Versailles,http://www.navitia.io/,Europe/Paris,,,
IDFM:1055,Meaux et Ourcq,http://www.navitia.io/,Europe/Paris,,,
IDFM:113,ValBus,http://www.navitia.io/,Europe/Paris,,,
IDFM:1060,Paris Saclay,http://www.navitia.io/,Europe/Paris,,,
IDFM:6,Apolo 7,http://www.navitia.io/,Europe/Paris,,,
IDFM:1073,Pays de Montereau,http://www.navitia.io/,Europe/Paris,,,
IDFM:211,Val de Seine,http://www.navitia.io/,Europe/Paris,,,
IDFM:1056,Brie et 2 Morin,http://www.navitia.io/,Europe/Paris,,,
IDFM:1064,Vallée Grand Sud Paris,http://www.navitia.io/,Europe/Paris,,,
IDFM:78,Sénart,http://www.navitia.io/,Europe/Paris,,,
IDFM:1065,Marne et Seine,http://www.navitia.io/,Europe/Paris,,,
IDFM:1048,Vexin,http://www.navitia.io/,Europe/Paris,,,
IDFM:1072,Roissy Est,http://www.navitia.io/,Europe/Paris,,,
IDFM:1049,Vallée de Montmorency,http://www.navitia.io/,Europe/Paris,,,
IDFM:1063,Bièvre,http://www.navitia.io/,Europe/Paris,,,
IDFM:1057,Val d'Yerres Val de Seine,http://www.navitia.io/,Europe/Paris,,,
IDFM:1058,Essonne Sud Est,http://www.navitia.io/,Europe/Paris,,,
IDFM:1071,Roissy Ouest,http://www.navitia.io/,Europe/Paris,,,
IDFM:29,Conflans Achères,http://www.navitia.io/,Europe/Paris,,,
IDFM:1053,Filéo,http://www.navitia.io/,Europe/Paris,,,
IDFM:76,Seine et Marne Express,http://www.navitia.io/,Europe/Paris,,,
IDFM:1059,Essonne Sud Ouest,http://www.navitia.io/,Europe/Paris,,,
IDFM:16,Busval d'Oise,http://www.navitia.io/,Europe/Paris,,,
IDFM:1076,Cœur d’Essonne,http://www.navitia.io/,Europe/Paris,,,
IDFM:593,Titus,http://www.navitia.io/,Europe/Paris,,,
IDFM:1070,Pays Briard,http://www.navitia.io/,Europe/Paris,,,
IDFM:915,Houdanais,http://www.navitia.io/,Europe/Paris,,,
IDFM:70,Rambouillet Urbain,http://www.navitia.io/,Europe/Paris,,,
IDFM:59,Parisis,http://www.navitia.io/,Europe/Paris,,,
IDFM:1052,Mantois,http://www.navitia.io/,Europe/Paris,,,
IDFM:64,Marne-la-Vallée,http://www.navitia.io/,Europe/Paris,,,
IDFM:1077,Grand Versailles,http://www.navitia.io/,Europe/Paris,,,
IDFM:34,STILE Express,http://www.navitia.io/,Europe/Paris,,,
IDFM:263,Rambouillet Interurbain,http://www.navitia.io/,Europe/Paris,,,
IDFM:741,Scolaire Est Yvelines,http://www.navitia.io/,Europe/Paris,,,
IDFM:1047,Seine Grand Orly,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_100,RATP,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_503,Aéroport Paris-Beauvais / SAGEB,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_030,Cars Lacroix,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_254,Transdev Ile-de-France Lys,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_038,Cars Rose,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_039,SAVAC,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_014,CIF,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_059,Stivo,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_231,Magical Shuttle,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_400,TICE,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_043,ADP,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_052,Transdev Autocars Tourneux,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_233,Autobus du Fort,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_070,Cars Soeur,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_1008,Transdev Valmy,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_116,Keolis Mobilité Roissy,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_212,Transdev Ile-de-France Conflans,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_1004,Keolis Ouest Val-de-Marne,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_027,Cars Hourtoule,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_055,Keolis Meyer,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_015,Transdev CSO,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_291,Albatrans,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_044,STAVO,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_111,Mobicité,http://www.navitia.io/,Europe/Paris,,,
IDFM:Operator_046,Keolis Val d'Oise,http://www.navitia.io/,Europe/Paris,,,
