service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:TN:1,0,0,0,1,0,0,0,20231012,20231012
IDFM:TN:10,1,1,1,1,1,1,1,20231013,20231109
IDFM:TN:100,0,0,1,0,0,0,0,20231011,20231011
IDFM:TN:333,1,1,1,1,1,0,0,20231013,20231109
IDFM:TN:346,0,0,0,0,0,1,0,20231014,20231104
IDFM:TN:404,0,0,0,0,0,1,0,20231015,20231104
IDFM:TN:412,0,0,0,0,0,1,1,20231015,20231105
IDFM:TN:425,0,0,0,0,0,0,1,20231015,20231105
IDFM:TN:455,0,0,0,0,0,0,1,20231014,20231105
IDFM:TN:640,0,0,0,0,0,0,1,20231014,20231105
IDFM:TN:754,0,0,0,0,0,1,0,20231014,20231104
IDFM:TN:990,0,0,0,0,0,1,1,20231014,20231105
IDFM:TN:1000,0,0,0,0,0,1,1,20231014,20231105
IDFM:TN:1007,0,0,0,0,0,1,1,20231014,20231105
IDFM:TN:1011,0,0,0,0,0,1,1,20231015,20231105
IDFM:TN:1012,1,1,1,1,1,0,0,20231023,20231027
IDFM:TN:1014,1,1,1,1,0,0,0,20231023,20231026
IDFM:TN:1017,1,0,0,0,0,0,0,20231023,20231023
IDFM:TN:1019,1,1,0,0,0,0,0,20231023,20231024
IDFM:TN:1022,1,0,1,0,1,0,0,20231023,20231027
IDFM:TN:1033,0,1,1,1,1,0,0,20231024,20231027
IDFM:TN:1034,0,1,0,0,0,0,0,20231024,20231024
IDFM:TN:1035,0,0,0,1,0,0,0,20231026,20231026
IDFM:TN:1044,0,0,0,0,1,0,0,20231013,20231020
IDFM:TN:1069,0,0,0,0,0,1,0,20231014,20231104
IDFM:TN:1139,0,0,0,0,0,0,1,20231015,20231105
IDFM:TN:1140,0,0,0,0,0,0,1,20231022,20231105
IDFM:TN:1196,1,1,0,1,1,0,0,20231013,20231109
IDFM:TN:1340,0,0,0,0,0,0,1,20231015,20231105
IDFM:TN:1374,0,0,0,0,0,1,0,20231014,20231104
IDFM:TN:1387,0,0,0,0,0,1,1,20231014,20231105
IDFM:TN:1388,0,0,0,0,0,1,0,20231014,20231104
IDFM:TN:1398,0,0,0,0,0,1,1,20231014,20231029
IDFM:TN:1423,0,0,0,0,0,0,1,20231015,20231015
IDFM:TN:1424,0,0,0,0,0,1,0,20231021,20231021
IDFM:TN:1485,1,1,0,1,1,0,0,20231013,20231109
IDFM:TN:1490,0,0,0,0,0,1,0,20231014,20231104
IDFM:TN:1556,0,0,0,0,0,1,0,20231015,20231104
IDFM:TN:1562,0,0,0,0,0,1,1,20231015,20231105
IDFM:TN:1610,0,0,0,0,0,1,1,20231021,20231022
IDFM:TN:2078,0,0,0,0,0,0,1,20231015,20231105
IDFM:TN:2089,1,1,1,0,0,0,0,20231023,20231025
IDFM:TN:2099,1,0,1,1,1,0,0,20231023,20231027
IDFM:TN:2122,0,1,0,1,0,0,0,20231024,20231026
IDFM:TN:2410,1,1,1,1,1,0,0,20231013,20231109
