service_id,date,exception_type
IDFM:TN:333,20231015,1
IDFM:TN:333,20231014,1
IDFM:TN:346,20231027,1
IDFM:TN:346,20231026,1
IDFM:TN:346,20231025,1
IDFM:TN:346,20231024,1
IDFM:TN:346,20231023,1
IDFM:TN:404,20231015,1
IDFM:TN:404,20231101,1
IDFM:TN:412,20231101,1
IDFM:TN:425,20231027,1
IDFM:TN:425,20231026,1
IDFM:TN:425,20231025,1
IDFM:TN:425,20231024,1
IDFM:TN:425,20231023,1
IDFM:TN:455,20231014,1
IDFM:TN:455,20231022,2
IDFM:TN:640,20231014,1
IDFM:TN:640,20231015,2
IDFM:TN:754,20231015,1
IDFM:TN:754,20231029,1
IDFM:TN:754,20231101,1
IDFM:TN:990,20231026,1
IDFM:TN:990,20231024,1
IDFM:TN:1000,20231027,1
IDFM:TN:1000,20231026,1
IDFM:TN:1000,20231025,1
IDFM:TN:1000,20231024,1
IDFM:TN:1000,20231023,1
IDFM:TN:1011,20231027,1
IDFM:TN:1011,20231026,1
IDFM:TN:1011,20231025,1
IDFM:TN:1011,20231024,1
IDFM:TN:1011,20231023,1
IDFM:TN:1044,20231019,1
IDFM:TN:1044,20231018,1
IDFM:TN:1044,20231017,1
IDFM:TN:1044,20231016,1
IDFM:TN:1069,20231015,1
IDFM:TN:1069,20231101,1
IDFM:TN:1139,20231101,1
IDFM:TN:1196,20231018,1
IDFM:TN:1196,20231027,2
IDFM:TN:1196,20231026,2
IDFM:TN:1196,20231024,2
IDFM:TN:1196,20231023,2
IDFM:TN:1196,20231108,1
IDFM:TN:1340,20231022,2
IDFM:TN:1374,20231021,2
IDFM:TN:1387,20231022,2
IDFM:TN:1387,20231021,2
IDFM:TN:1388,20231015,1
IDFM:TN:1388,20231021,2
IDFM:TN:1398,20231022,2
IDFM:TN:1398,20231021,2
IDFM:TN:1485,20231014,1
IDFM:TN:1485,20231018,1
IDFM:TN:1485,20231027,2
IDFM:TN:1485,20231026,2
IDFM:TN:1485,20231024,2
IDFM:TN:1485,20231023,2
IDFM:TN:1485,20231108,1
IDFM:TN:1490,20231015,1
IDFM:TN:1490,20231021,2
IDFM:TN:1490,20231101,1
IDFM:TN:1556,20231015,1
IDFM:TN:1556,20231021,2
IDFM:TN:1556,20231101,1
IDFM:TN:1562,20231022,2
IDFM:TN:1562,20231021,2
IDFM:TN:1562,20231101,1
IDFM:TN:2410,20231027,2
IDFM:TN:2410,20231026,2
IDFM:TN:2410,20231025,2
IDFM:TN:2410,20231024,2
IDFM:TN:2410,20231023,2
IDFM:TN:2417,20231020,2
IDFM:TN:2417,20231018,2
IDFM:TN:2417,20231027,2
IDFM:TN:2417,20231025,2
IDFM:TN:2417,20231102,1
IDFM:TN:2417,20231031,1
IDFM:TN:2417,20231030,1
IDFM:TN:2420,20231013,1
IDFM:TN:2420,20231020,1
IDFM:TN:2420,20231019,1
IDFM:TN:2420,20231017,1
IDFM:TN:2420,20231016,1
IDFM:TN:2420,20231025,2
IDFM:TN:2420,20231109,1
IDFM:TN:2420,20231107,1
IDFM:TN:2420,20231106,1
IDFM:TN:2424,20231027,2
IDFM:TN:2424,20231026,2
IDFM:TN:2424,20231025,2
IDFM:TN:2424,20231024,2
IDFM:TN:2424,20231023,2
IDFM:TN:2424,20231101,2
IDFM:TN:2424,20231107,2
IDFM:TN:2424,20231106,2
IDFM:TN:2425,20231027,2
IDFM:TN:2425,20231026,2
IDFM:TN:2425,20231025,2
IDFM:TN:2425,20231024,2
IDFM:TN:2425,20231023,2
IDFM:TN:2425,20231107,2
IDFM:TN:2425,20231106,2
IDFM:TN:2428,20231109,1
IDFM:TN:2428,20231107,1
IDFM:TN:2428,20231106,1
IDFM:TN:2530,20231018,1
IDFM:TN:2530,20231027,2
IDFM:TN:2530,20231026,2
IDFM:TN:2530,20231024,2
IDFM:TN:2530,20231023,2
IDFM:TN:2714,20231105,2
IDFM:TN:2716,20231105,2
IDFM:TN:2716,20231104,2
IDFM:TN:2862,20231019,2
IDFM:TN:2862,20231017,2
IDFM:TN:2862,20231101,2
IDFM:TN:3018,20231013,1
IDFM:TN:3018,20231020,1
IDFM:TN:3018,20231019,1
IDFM:TN:3018,20231017,1
IDFM:TN:3018,20231016,1
IDFM:TN:3018,20231025,2
IDFM:TN:3018,20231105,2
IDFM:TN:3018,20231104,2
IDFM:TN:3018,20231109,1
IDFM:TN:3018,20231107,1
IDFM:TN:3018,20231106,1
IDFM:TN:3026,20231013,1
IDFM:TN:3026,20231020,1
IDFM:TN:3026,20231019,1
IDFM:TN:3026,20231017,1
IDFM:TN:3026,20231016,1
IDFM:TN:3026,20231101,1
IDFM:TN:3026,20231105,2
IDFM:TN:3026,20231104,2
IDFM:TN:3026,20231109,1
IDFM:TN:3026,20231108,1
IDFM:TN:3026,20231107,1
IDFM:TN:3026,20231106,1
IDFM:TN:3048,20231029,1
IDFM:TN:3048,20231101,1
IDFM:TN:3081,20231028,1
IDFM:TN:3313,20231104,1
IDFM:TN:3313,20231101,2
IDFM:TN:3324,20231013,1
IDFM:TN:3324,20231020,1
IDFM:TN:3324,20231019,1
IDFM:TN:3324,20231017,1
IDFM:TN:3324,20231016,1
IDFM:TN:3324,20231025,2
IDFM:TN:3324,20231105,1
