trip_id	stop_id	stop_sequence	arrival_time	departure_time
IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_12	IDFM:22078	0	13:51:00	13:51:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_12	IDFM:463217	1	13:53:00	13:53:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_12	IDFM:22099	2	13:55:00	13:55:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_12	IDFM:22102	3	13:57:00	13:57:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_12	IDFM:463193	4	13:59:00	13:59:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_13	IDFM:22078	0	14:08:00	14:08:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_13	IDFM:463217	1	14:10:00	14:10:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_13	IDFM:22099	2	14:11:00	14:11:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_13	IDFM:22102	3	14:13:00	14:13:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_13	IDFM:463193	4	14:15:00	14:15:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22101	0	10:09:00	10:09:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:463170	1	10:11:00	10:11:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:463044	2	10:12:00	10:12:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22100	3	10:14:00	10:14:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:463257	4	10:15:00	10:15:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:463121	5	10:17:00	10:17:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22086	6	10:18:00	10:18:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22084	7	10:19:00	10:19:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22082	8	10:20:00	10:20:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22090	9	10:22:00	10:22:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22085	10	10:23:00	10:23:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:463041	11	10:24:00	10:24:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22079	12	10:25:00	10:25:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22081	13	10:26:00	10:26:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22087	14	10:28:00	10:28:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:463080	15	10:29:00	10:29:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22074	16	10:30:00	10:30:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:463019	17	10:32:00	10:32:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22083	18	10:34:00	10:34:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22076	19	10:36:00	10:36:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22080	20	10:37:00	10:37:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22077	21	10:39:00	10:39:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22103	22	10:40:00	10:40:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22105	23	10:42:00	10:42:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133	IDFM:22104	24	10:44:00	10:44:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22101	0	13:44:00	13:44:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:463170	1	13:45:00	13:45:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:463044	2	13:47:00	13:47:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22100	3	13:48:00	13:48:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:463257	4	13:50:00	13:50:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:463121	5	13:51:00	13:51:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22086	6	13:53:00	13:53:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22084	7	13:54:00	13:54:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22082	8	13:55:00	13:55:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22090	9	13:57:00	13:57:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22085	10	13:58:00	13:58:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:463041	11	13:59:00	13:59:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22079	12	14:01:00	14:01:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22081	13	14:02:00	14:02:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22087	14	14:03:00	14:03:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:463080	15	14:04:00	14:04:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22074	16	14:06:00	14:06:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:463019	17	14:08:00	14:08:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22083	18	14:10:00	14:10:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22076	19	14:12:00	14:12:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22080	20	14:14:00	14:14:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22077	21	14:15:00	14:15:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22103	22	14:17:00	14:17:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22105	23	14:19:00	14:19:00
IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205	IDFM:22104	24	14:21:00	14:21:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:483279	0	18:56:00	18:56:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:483277	1	18:57:00	18:57:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463222	2	19:00:00	19:00:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463092	3	19:01:00	19:01:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463118	4	19:03:00	19:03:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463242	5	19:03:00	19:03:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:22151	6	19:04:00	19:04:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463291	7	19:05:00	19:05:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:22135	8	19:07:00	19:07:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:462996	9	19:08:00	19:08:00
