stop_id	stop_name	parent_station
IDFM:22133	Simplon	IDFM:71556
IDFM:463186	Glacière	IDFM:71026
IDFM:22181	Daumesnil	IDFM:71614
IDFM:463099	Dupleix	IDFM:71197
IDFM:483277	Barbara	IDFM:70441
IDFM:463003	Place d'Italie	IDFM:71033
IDFM:463313	Strasbourg - Saint-Denis	IDFM:73633
IDFM:463028	Nation	IDFM:71673
IDFM:463005	Bir-Hakeim	IDFM:473829
IDFM:22080	Nation	IDFM:71673
IDFM:463140	Cambronne	IDFM:71167
IDFM:22179	Bir-Hakeim	IDFM:473829
IDFM:22156	Montparnasse Bienvenue	IDFM:71139
IDFM:463072	Réaumur - Sébastopol	IDFM:73636
IDFM:22177	Bel-Air	IDFM:73650
IDFM:462955	Montparnasse Bienvenue	IDFM:71139
IDFM:22084	George V	IDFM:71328
IDFM:22154	Alésia	IDFM:71030
IDFM:22131	Raspail	IDFM:71088
IDFM:22082	Franklin D. Roosevelt	IDFM:71318
IDFM:463093	Barbès - Rochechouart	IDFM:71426
IDFM:463121	Argentine	IDFM:71348
IDFM:463268	Trocadéro	IDFM:71285
IDFM:22074	Saint-Paul (Le Marais)	IDFM:71222
IDFM:26602	Mairie de Montrouge	IDFM:70586
IDFM:22175	Corvisart	IDFM:71013
IDFM:463222	Mairie de Montrouge	IDFM:70586
IDFM:22102	Esplanade de la Défense	IDFM:71485
IDFM:22152	Château Rouge	IDFM:71469
IDFM:22150	Cité	IDFM:71223
IDFM:22173	Glacière	IDFM:71026
IDFM:463194	La Motte-Picquet - Grenelle	IDFM:71199
IDFM:22104	Château de Vincennes	IDFM:71634
IDFM:463022	Gare de l'Est	IDFM:71359
IDFM:463169	Daumesnil	IDFM:71614
IDFM:463100	Edgar Quinet	IDFM:71108
IDFM:22078	Porte Maillot	IDFM:71379
IDFM:22148	Gare de l'Est	IDFM:71359
IDFM:22100	Les Sablons	IDFM:425779
IDFM:463148	Château Rouge	IDFM:71469
IDFM:463171	Etienne Marcel	IDFM:479068
IDFM:463291	Raspail	IDFM:71088
IDFM:22146	Les Halles	IDFM:73794
IDFM:463102	Kléber	IDFM:73656
IDFM:483279	Bagneux - Lucie Aubrac	IDFM:483315
IDFM:22076	Reuilly - Diderot	IDFM:71654
IDFM:22171	Dupleix	IDFM:71197
IDFM:22099	Pont de Neuilly	IDFM:71442
IDFM:22168	Place d'Italie	IDFM:71033
IDFM:22145	Odéon	IDFM:73618
IDFM:463104	Denfert-Rochereau	IDFM:71056
IDFM:22092	Châtelet	IDFM:71264
IDFM:463127	Bel-Air	IDFM:73650
IDFM:22166	Pasteur	IDFM:71125
IDFM:22143	Montparnasse Bienvenue	IDFM:71139
IDFM:22164	Trocadéro	IDFM:71285
IDFM:462992	Saint-Sulpice	IDFM:71202
IDFM:22141	Porte de Clignancourt	IDFM:478883
IDFM:463308	Saint-Placide	IDFM:71184
IDFM:22139	Saint-Sulpice	IDFM:71202
IDFM:22086	Charles de Gaulle - Etoile	IDFM:71347
IDFM:463257	Porte Maillot	IDFM:71379
IDFM:463158	Châtelet	IDFM:71264
IDFM:463080	Hôtel de Ville	IDFM:415852
IDFM:483313	Barbara	IDFM:70441
IDFM:463306	Saint-Michel	IDFM:73620
IDFM:22162	La Motte-Picquet - Grenelle	IDFM:71199
IDFM:462996	Montparnasse Bienvenue	IDFM:71139
IDFM:22160	Saint-Jacques	IDFM:71041
IDFM:22090	Champs-Élysées - Clemenceau	IDFM:71305
IDFM:462948	Pasteur	IDFM:71125
IDFM:22137	Saint-Michel	IDFM:73620
IDFM:463183	Gare du Nord	IDFM:71410
IDFM:22158	Denfert-Rochereau	IDFM:71056
IDFM:22135	Vavin	IDFM:71117
IDFM:463114	Boissière	IDFM:71301
IDFM:22081	Louvre - Rivoli	IDFM:73630
IDFM:22134	Strasbourg - Saint-Denis	IDFM:73633
IDFM:463314	Sèvres-Lecourbe	IDFM:71144
IDFM:22079	Palais Royal - Musée du Louvre	IDFM:71297
IDFM:22155	Raspail	IDFM:71088
IDFM:22132	Marcadet - Poissonniers	IDFM:71511
IDFM:463288	Quai de la Gare	IDFM:71597
IDFM:463004	Nationale	IDFM:71043
IDFM:463075	Dugommier	IDFM:71606
IDFM:463098	Picpus	IDFM:71639
IDFM:463217	Les Sablons	IDFM:425779
IDFM:22178	Bercy	IDFM:71607
IDFM:22083	Gare de Lyon	IDFM:73626
IDFM:463118	Alésia	IDFM:71030
IDFM:22105	Bérault	IDFM:71650
IDFM:22176	Cambronne	IDFM:71167
IDFM:463073	Porte de Clignancourt	IDFM:478883
IDFM:22153	Château d'Eau	IDFM:71333
IDFM:22130	Barbès - Rochechouart	IDFM:71426
IDFM:463310	Simplon	IDFM:71556
IDFM:462979	Château d'Eau	IDFM:71333
IDFM:22151	Denfert-Rochereau	IDFM:71056
IDFM:22103	Saint-Mandé	IDFM:71647
IDFM:463292	Raspail	IDFM:71088
IDFM:463044	Pont de Neuilly	IDFM:71442
IDFM:22149	Gare du Nord	IDFM:71410
IDFM:463092	Porte d'Orléans	IDFM:70657
IDFM:22174	Chevaleret	IDFM:73651
IDFM:463193	La Défense (Grande Arche)	IDFM:71517
IDFM:463170	Esplanade de la Défense	IDFM:71485
IDFM:22073	Nation	IDFM:71673
IDFM:22172	Edgar Quinet	IDFM:71108
IDFM:463242	Mouton-Duvernet	IDFM:73653
IDFM:463147	Chevaleret	IDFM:73651
IDFM:463042	Charles de Gaulle - Etoile	IDFM:71347
IDFM:22077	Porte de Vincennes	IDFM:71663
IDFM:463101	Passy	IDFM:71237
IDFM:463019	Bastille	IDFM:463564
IDFM:22101	La Défense (Grande Arche)	IDFM:71517
IDFM:22147	Etienne Marcel	IDFM:479068
IDFM:462993	Saint-Germain-des-Prés	IDFM:71216
IDFM:463103	Denfert-Rochereau	IDFM:71056
IDFM:22169	Nationale	IDFM:71043
IDFM:463041	Tuileries	IDFM:71284
IDFM:463128	Bercy	IDFM:71607
IDFM:462995	Odéon	IDFM:73618
IDFM:22167	Picpus	IDFM:71639
IDFM:22144	Mouton-Duvernet	IDFM:73653
IDFM:463016	Vavin	IDFM:71117
IDFM:463105	Corvisart	IDFM:71013
IDFM:22142	Réaumur - Sébastopol	IDFM:73636
IDFM:22165	Passy	IDFM:71237
IDFM:22087	Châtelet	IDFM:71264
IDFM:463208	Les Halles	IDFM:73794
IDFM:22163	Sèvres-Lecourbe	IDFM:71144
IDFM:22140	Porte d'Orléans	IDFM:70657
IDFM:22085	Concorde	IDFM:71298
IDFM:22138	Saint-Placide	IDFM:71184
IDFM:22136	Saint-Germain-des-Prés	IDFM:71216
IDFM:483314	Bagneux - Lucie Aubrac	IDFM:483315
IDFM:463305	Saint-Jacques	IDFM:71041
IDFM:22161	Quai de la Gare	IDFM:71597
IDFM:462974	Marcadet - Poissonniers	IDFM:71511
IDFM:22182	Dugommier	IDFM:71606
IDFM:463161	Cité	IDFM:71223
