route_id	trip_id	trip_headsign
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_12	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_13	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_14	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_11	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_141	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_142	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_143	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_144	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_145	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_146	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_147	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_148	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_149	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_150	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_151	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_152	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_153	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_154	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_155	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_156	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_220	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_222	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_223	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_224	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_225	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_226	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_228	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_229	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_230	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_231	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_232	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_234	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_235	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_236	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_238	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_239	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_240	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_241	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_242	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_243	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_244	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_245	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_246	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_247	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_248	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_249	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_250	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_251	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_287	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_307	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_327	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_347	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_358	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_363	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_373	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_378	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_37	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_383	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_398	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_399	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_400	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_401	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_402	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_403	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_404	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_405	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_406	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_407	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_409	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_410	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_411	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_412	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_413	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_415	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_416	La Défense (Grande Arche)
