stop_id	stop_name	parent_station
IDFM:monomodalStopPlace:47052	Courcelle-sur-Yvette	IDFM:62951
IDFM:monomodalStopPlace:43246	La Ferté-sous-Jouarre	IDFM:68918
IDFM:monomodalStopPlace:47187	Verneuil-l'Étang	IDFM:62471
IDFM:monomodalStopPlace:43228	Les Baconnets	IDFM:69622
IDFM:monomodalStopPlace:47955	Saint-Ouen-l'Aumône Quartier de l'Église	IDFM:66731
IDFM:monomodalStopPlace:46647	Achères Ville	IDFM:73604
IDFM:monomodalStopPlace:43111	Clamart	IDFM:70505
IDFM:monomodalStopPlace:43176	Pantin	IDFM:72421
IDFM:monomodalStopPlace:43088	Bellevue	IDFM:69528
IDFM:monomodalStopPlace:47937	L'Étang-la-Ville	IDFM:73603
IDFM:monomodalStopPlace:43071	Aulnay-sous-Bois	IDFM:72646
IDFM:monomodalStopPlace:48964	Saint-Leu-la-Forêt	IDFM:66452
IDFM:monomodalStopPlace:47486	Lizy-sur-Ourcq	IDFM:69237
IDFM:monomodalStopPlace:47897	Cergy Saint-Christophe	IDFM:66858
IDFM:monomodalStopPlace:45814	Saint-Fargeau	IDFM:62172
IDFM:monomodalStopPlace:427872	Lagny - Thorigny	IDFM:68494
IDFM:monomodalStopPlace:473159	Deuil - Montmagny	IDFM:65562
IDFM:monomodalStopPlace:46007	La Croix de Berny	IDFM:69813
IDFM:monomodalStopPlace:47943	Mouroux	IDFM:67944
IDFM:monomodalStopPlace:47199	Faremoutiers - Pommeuse	IDFM:67917
IDFM:monomodalStopPlace:43211	Vaires - Torcy	IDFM:68419
IDFM:monomodalStopPlace:58718	Haussmann Saint-Lazare	IDFM:73688
IDFM:monomodalStopPlace:415091	Pont de l'Alma	IDFM:71271
IDFM:monomodalStopPlace:44877	Saint-Michel Notre-Dame	IDFM:73620
IDFM:monomodalStopPlace:43164	Mitry - Claye	IDFM:69065
IDFM:monomodalStopPlace:47767	Sèvres - Ville-d'Avray	IDFM:70686
IDFM:monomodalStopPlace:48489	Orangis Bois de l'Épine	IDFM:60542
IDFM:monomodalStopPlace:47880	La Celle-Saint-Cloud	IDFM:64251
IDFM:monomodalStopPlace:58267	Les Boullereaux Champigny	IDFM:73098
IDFM:monomodalStopPlace:43076	Épinay-sur-Orge	IDFM:60915
IDFM:monomodalStopPlace:47046	La Hacquinière	IDFM:62825
IDFM:monomodalStopPlace:46689	Viroflay Rive Droite	IDFM:422420
IDFM:monomodalStopPlace:45850	Le Bras de Fer	IDFM:60422
IDFM:monomodalStopPlace:43105	Cernay	IDFM:65752
IDFM:monomodalStopPlace:411396	Crépy-en-Valois	IDFM:411397
IDFM:monomodalStopPlace:43146	La Varenne - Chennevières	IDFM:72998
IDFM:monomodalStopPlace:47925	Breuillet - Bruyères-le-Châtel	IDFM:60028
IDFM:monomodalStopPlace:43216	Vaucresson	IDFM:70705
IDFM:monomodalStopPlace:47967	Vosves	IDFM:61850
IDFM:monomodalStopPlace:47950	Sermaise	IDFM:59842
IDFM:monomodalStopPlace:43117	Coulommiers	IDFM:67920
IDFM:monomodalStopPlace:47907	Pont de Rungis Aéroport d'Orly	IDFM:69677
IDFM:monomodalStopPlace:47181	Provins	IDFM:62139
IDFM:monomodalStopPlace:44201	Noisy-le-Sec	IDFM:72041
IDFM:monomodalStopPlace:473875	Nation	IDFM:71673
IDFM:monomodalStopPlace:46847	Gare de Villiers Neauphle Pontchartrain	IDFM:424296
IDFM:monomodalStopPlace:43234	Le Parc de Saint-Maur	IDFM:70359
IDFM:monomodalStopPlace:470549	La Défense	IDFM:71517
IDFM:monomodalStopPlace:43094	Boissy-Saint-Léger	IDFM:72881
IDFM:monomodalStopPlace:43123	Fontaine-le-Port	IDFM:61767
IDFM:monomodalStopPlace:411332	Boran-sur-Oise	IDFM:411333
IDFM:monomodalStopPlace:47962	Trilport	IDFM:68984
IDFM:monomodalStopPlace:47874	Poissy	IDFM:64883
IDFM:monomodalStopPlace:47948	Ris-Orangis	IDFM:60839
IDFM:monomodalStopPlace:43235	Le Perray	IDFM:62804
IDFM:monomodalStopPlace:43104	Cergy le Haut	IDFM:66834
IDFM:monomodalStopPlace:43077	Épinay-sur-Seine	IDFM:72383
IDFM:monomodalStopPlace:45873	Auber	IDFM:478926
IDFM:monomodalStopPlace:45745	Évry - Val de Seine	IDFM:60522
IDFM:monomodalStopPlace:47009	Palaiseau	IDFM:63175
IDFM:monomodalStopPlace:43170	Nanterre Université	IDFM:70956
IDFM:monomodalStopPlace:45763	Boissise-le-Roi	IDFM:61943
IDFM:monomodalStopPlace:43217	Vaux-sur-Seine	IDFM:66338
IDFM:monomodalStopPlace:43195	Sèvres Rive Gauche	IDFM:463754
IDFM:monomodalStopPlace:411418	La Borne Blanche	IDFM:411419
