route_id	trip_headsign	trip_id
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_12
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_13
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_14
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_11
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_141
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_142
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_143
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_144
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_145
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_146
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_147
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_148
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_149
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_150
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_151
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_152
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_153
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_154
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_155
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_156
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_220
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_222
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_223
